"taxon","taxonLabel"
"http://purl.obolibrary.org/obo/NCBITaxon_131101","Coturnix sp. MF-1993"
"http://purl.obolibrary.org/obo/NCBITaxon_2747373","Coturnix sp. KLi-2020a"
"http://purl.obolibrary.org/obo/NCBITaxon_1358953","Coturnix coturnix x Coturnix japonica"
"http://purl.obolibrary.org/obo/NCBITaxon_2497800","Coturnix ypsilophora"
"http://purl.obolibrary.org/obo/NCBITaxon_2567903","Coturnix coromandelica"
"http://purl.obolibrary.org/obo/NCBITaxon_9093","Coturnix delegorguei"
"http://purl.obolibrary.org/obo/NCBITaxon_662403","Coturnix novaezelandiae"
"http://purl.obolibrary.org/obo/NCBITaxon_9091","Coturnix coturnix"
"http://purl.obolibrary.org/obo/NCBITaxon_93934","Coturnix japonica"
"http://purl.obolibrary.org/obo/NCBITaxon_1206065","Arborophila ardens"
"http://purl.obolibrary.org/obo/NCBITaxon_1296548","Arborophila brunneopectus"
"http://purl.obolibrary.org/obo/NCBITaxon_1344024","Arborophila crudigularis"
"http://purl.obolibrary.org/obo/NCBITaxon_604435","Arborophila gingica"
"http://purl.obolibrary.org/obo/NCBITaxon_1579497","Arborophila atrogularis"
"http://purl.obolibrary.org/obo/NCBITaxon_2691900","Arborophila cambodiana"
"http://purl.obolibrary.org/obo/NCBITaxon_2691901","Arborophila mandellii"
"http://purl.obolibrary.org/obo/NCBITaxon_2691919","Arborophila orientalis"
"http://purl.obolibrary.org/obo/NCBITaxon_2691920","Arborophila hyperythra"
"http://purl.obolibrary.org/obo/NCBITaxon_2691922","Arborophila rubrirostris"
"http://purl.obolibrary.org/obo/NCBITaxon_338144","Arborophila javanica"
"http://purl.obolibrary.org/obo/NCBITaxon_559495","Arborophila rufipectus"
"http://purl.obolibrary.org/obo/NCBITaxon_604433","Arborophila rufogularis"
"http://purl.obolibrary.org/obo/NCBITaxon_9105","Arborophila torqueola"
"http://purl.obolibrary.org/obo/NCBITaxon_1507505","Galloperdix spadicea"
"http://purl.obolibrary.org/obo/NCBITaxon_466543","Galloperdix lunulata"
"http://purl.obolibrary.org/obo/NCBITaxon_1543398","Pternistis atrifrons"
"http://purl.obolibrary.org/obo/NCBITaxon_389004","Pternistis griseostriatus"
"http://purl.obolibrary.org/obo/NCBITaxon_389010","Pternistis icterorhynchus"
"http://purl.obolibrary.org/obo/NCBITaxon_389011","Pternistis clappertoni"
"http://purl.obolibrary.org/obo/NCBITaxon_389012","Pternistis harwoodi"
"http://purl.obolibrary.org/obo/NCBITaxon_389016","Pternistis camerunensis"
"http://purl.obolibrary.org/obo/NCBITaxon_389017","Pternistis nobilis"
"http://purl.obolibrary.org/obo/NCBITaxon_389018","Pternistis jacksoni"
"http://purl.obolibrary.org/obo/NCBITaxon_389019","Pternistis castaneicollis"
"http://purl.obolibrary.org/obo/NCBITaxon_389020","Pternistis ochropectus"
"http://purl.obolibrary.org/obo/NCBITaxon_389024","Pternistis rufopictus"
"http://purl.obolibrary.org/obo/NCBITaxon_57752","Pternistis adspersus"
"http://purl.obolibrary.org/obo/NCBITaxon_57754","Pternistis bicalcaratus"
"http://purl.obolibrary.org/obo/NCBITaxon_57755","Pternistis capensis"
"http://purl.obolibrary.org/obo/NCBITaxon_57758","Pternistis hartlaubi"
"http://purl.obolibrary.org/obo/NCBITaxon_57759","Pternistis hildebrandti"
"http://purl.obolibrary.org/obo/NCBITaxon_57762","Pternistis natalensis"
"http://purl.obolibrary.org/obo/NCBITaxon_57765","Pternistis squamatus"
"http://purl.obolibrary.org/obo/NCBITaxon_57766","Pternistis swainsonii"
"http://purl.obolibrary.org/obo/NCBITaxon_666326","Pternistis leucoscepus"
"http://purl.obolibrary.org/obo/NCBITaxon_796028","Pternistis swierstrai"
"http://purl.obolibrary.org/obo/NCBITaxon_796029","Pternistis ahantensis"
"http://purl.obolibrary.org/obo/NCBITaxon_9020","Pternistis afer"
"http://purl.obolibrary.org/obo/NCBITaxon_9022","Pternistis erckelii"
"http://purl.obolibrary.org/obo/NCBITaxon_1717231","Tropicoperdix chloropus"
"http://purl.obolibrary.org/obo/NCBITaxon_1717232","Tropicoperdix merlini"
"http://purl.obolibrary.org/obo/NCBITaxon_1717233","Tropicoperdix charltonii"
"http://purl.obolibrary.org/obo/NCBITaxon_1756207","Perdicula erythrorhyncha"
"http://purl.obolibrary.org/obo/NCBITaxon_249172","Perdicula asiatica"
"http://purl.obolibrary.org/obo/NCBITaxon_2499241","Perdicula manipurensis"
"http://purl.obolibrary.org/obo/NCBITaxon_1756211","Scleroptila afra"
"http://purl.obolibrary.org/obo/NCBITaxon_3150513","Scleroptila gutturalis"
"http://purl.obolibrary.org/obo/NCBITaxon_388994","Scleroptila streptophorus"
"http://purl.obolibrary.org/obo/NCBITaxon_388999","Scleroptila psilolaema"
"http://purl.obolibrary.org/obo/NCBITaxon_57756","Scleroptila finschi"
"http://purl.obolibrary.org/obo/NCBITaxon_57760","Scleroptila levaillantii"
"http://purl.obolibrary.org/obo/NCBITaxon_57764","Scleroptila shelleyi"
"http://purl.obolibrary.org/obo/NCBITaxon_40178","Alectoris graeca"
"http://purl.obolibrary.org/obo/NCBITaxon_40177","Alectoris barbara"
"http://purl.obolibrary.org/obo/NCBITaxon_9078","Alectoris chukar"
"http://purl.obolibrary.org/obo/NCBITaxon_1864497","Alectoris graeca x Alectoris chukar"
"http://purl.obolibrary.org/obo/NCBITaxon_249542","Alectoris rufa x Alectoris chukar"
"http://purl.obolibrary.org/obo/NCBITaxon_345194","Alectoris chukar x Alectoris rufa"
"http://purl.obolibrary.org/obo/NCBITaxon_40179","Alectoris magna"
"http://purl.obolibrary.org/obo/NCBITaxon_40180","Alectoris melanocephala"
"http://purl.obolibrary.org/obo/NCBITaxon_40181","Alectoris philbyi"
"http://purl.obolibrary.org/obo/NCBITaxon_9079","Alectoris rufa"
"http://purl.obolibrary.org/obo/NCBITaxon_1002902","Francolinus sp. GGS-2011"
"http://purl.obolibrary.org/obo/NCBITaxon_2966624","Francolinus sp."
"http://purl.obolibrary.org/obo/NCBITaxon_9023","Francolinus francolinus"
"http://purl.obolibrary.org/obo/NCBITaxon_3150296","Francolinus lathami"
"http://purl.obolibrary.org/obo/NCBITaxon_472989","Francolinus pintadeanus"
"http://purl.obolibrary.org/obo/NCBITaxon_57757","Francolinus gularis"
"http://purl.obolibrary.org/obo/NCBITaxon_57761","Francolinus levaillantoides"
"http://purl.obolibrary.org/obo/NCBITaxon_9019","Francolinus pondicerianus"
"http://purl.obolibrary.org/obo/NCBITaxon_903948","Francolinus pictus"
"http://purl.obolibrary.org/obo/NCBITaxon_2759927","Xenoperdix obscuratus"
"http://purl.obolibrary.org/obo/NCBITaxon_338142","Xenoperdix udzungwensis"
"http://purl.obolibrary.org/obo/NCBITaxon_30405","Rollulus rouloul"
"http://purl.obolibrary.org/obo/NCBITaxon_3149352","Ammoperdix griseogularis"
"http://purl.obolibrary.org/obo/NCBITaxon_388990","Ammoperdix heyi"
"http://purl.obolibrary.org/obo/NCBITaxon_9021","Peliperdix coqui"
"http://purl.obolibrary.org/obo/NCBITaxon_3150881","Peliperdix albogularis"
"http://purl.obolibrary.org/obo/NCBITaxon_388972","Ptilopachus petrosus"
"http://purl.obolibrary.org/obo/NCBITaxon_389005","Ptilopachus nahani"
"http://purl.obolibrary.org/obo/NCBITaxon_9083","Bambusicola thoracicus"
"http://purl.obolibrary.org/obo/NCBITaxon_388974","Bambusicola fytchii"
"http://purl.obolibrary.org/obo/NCBITaxon_57763","Dendroperdix sephaena"
"http://purl.obolibrary.org/obo/NCBITaxon_903938","Dendroperdix rovuma"
"http://purl.obolibrary.org/obo/NCBITaxon_459760","Tetraophasis szechenyii"
"http://purl.obolibrary.org/obo/NCBITaxon_459761","Tetraophasis obscurus"
"http://purl.obolibrary.org/obo/NCBITaxon_466541","Caloperdix oculeus"
"http://purl.obolibrary.org/obo/NCBITaxon_466550","Rhizothera longirostris"
"http://purl.obolibrary.org/obo/NCBITaxon_475776","Haematortyx sanguiniceps"
"http://purl.obolibrary.org/obo/NCBITaxon_57751","Margaroperdix madagarensis"
"http://purl.obolibrary.org/obo/NCBITaxon_128172","Tragopan melanocephalus"
"http://purl.obolibrary.org/obo/NCBITaxon_30406","Tragopan blythii"
"http://purl.obolibrary.org/obo/NCBITaxon_30407","Tragopan caboti"
"http://purl.obolibrary.org/obo/NCBITaxon_9070","Tragopan satyra"
"http://purl.obolibrary.org/obo/NCBITaxon_9071","Tragopan temminckii"
"http://purl.obolibrary.org/obo/NCBITaxon_140443","Lophura erythrophthalma"
"http://purl.obolibrary.org/obo/NCBITaxon_140444","Lophura hatinhensis"
"http://purl.obolibrary.org/obo/NCBITaxon_140445","Lophura leucomelanos"
"http://purl.obolibrary.org/obo/NCBITaxon_140446","Lophura swinhoii"
"http://purl.obolibrary.org/obo/NCBITaxon_140447","Lophura inornata"
"http://purl.obolibrary.org/obo/NCBITaxon_30402","Lophura diardi"
"http://purl.obolibrary.org/obo/NCBITaxon_9044","Lophura ignita"
"http://purl.obolibrary.org/obo/NCBITaxon_466535","Lophura rufa"
"http://purl.obolibrary.org/obo/NCBITaxon_9042","Lophura bulweri"
"http://purl.obolibrary.org/obo/NCBITaxon_9043","Lophura edwardsi"
"http://purl.obolibrary.org/obo/NCBITaxon_9046","Lophura nycthemera"
"http://purl.obolibrary.org/obo/NCBITaxon_142657","Polyplectron chalcurum"
"http://purl.obolibrary.org/obo/NCBITaxon_142658","Polyplectron germaini"
"http://purl.obolibrary.org/obo/NCBITaxon_142659","Polyplectron inopinatum"
"http://purl.obolibrary.org/obo/NCBITaxon_142660","Polyplectron malacense"
"http://purl.obolibrary.org/obo/NCBITaxon_30403","Polyplectron napoleonis"
"http://purl.obolibrary.org/obo/NCBITaxon_472240","Polyplectron schleiermacheri"
"http://purl.obolibrary.org/obo/NCBITaxon_472241","Polyplectron katsumatae"
"http://purl.obolibrary.org/obo/NCBITaxon_9059","Polyplectron bicalcaratum"
"http://purl.obolibrary.org/obo/NCBITaxon_151216","Rheinardia ocellata"
"http://purl.obolibrary.org/obo/NCBITaxon_2681194","Rheinardia nigrescens"
"http://purl.obolibrary.org/obo/NCBITaxon_3150611","Synoicus chinensis"
"http://purl.obolibrary.org/obo/NCBITaxon_3150612","Synoicus monorthonyx"
"http://purl.obolibrary.org/obo/NCBITaxon_228248","Lophophorus lhuysii"
"http://purl.obolibrary.org/obo/NCBITaxon_228249","Lophophorus sclateri"
"http://purl.obolibrary.org/obo/NCBITaxon_9040","Lophophorus impejanus"
"http://purl.obolibrary.org/obo/NCBITaxon_242522","Crossoptilon harmani"
"http://purl.obolibrary.org/obo/NCBITaxon_30408","Crossoptilon crossoptilon"
"http://purl.obolibrary.org/obo/NCBITaxon_3091385","Crossoptilon drouynii"
"http://purl.obolibrary.org/obo/NCBITaxon_9096","Crossoptilon auritum"
"http://purl.obolibrary.org/obo/NCBITaxon_9097","Crossoptilon mantchuricum"
"http://purl.obolibrary.org/obo/NCBITaxon_9054","Phasianus colchicus"
"http://purl.obolibrary.org/obo/NCBITaxon_9056","Phasianus sp."
"http://purl.obolibrary.org/obo/NCBITaxon_9055","Phasianus versicolor"
"http://purl.obolibrary.org/obo/NCBITaxon_9031","Gallus gallus"
"http://purl.obolibrary.org/obo/NCBITaxon_9036","Gallus sp."
"http://purl.obolibrary.org/obo/NCBITaxon_9032","Gallus lafayettii"
"http://purl.obolibrary.org/obo/NCBITaxon_9033","Gallus sonneratii"
"http://purl.obolibrary.org/obo/NCBITaxon_9034","Gallus varius"
"http://purl.obolibrary.org/obo/NCBITaxon_83285","Ithaginis cruentus"
"http://purl.obolibrary.org/obo/NCBITaxon_9050","Pavo muticus"
"http://purl.obolibrary.org/obo/NCBITaxon_9049","Pavo cristatus"
"http://purl.obolibrary.org/obo/NCBITaxon_9061","Pucrasia macrolopha"
"http://purl.obolibrary.org/obo/NCBITaxon_9067","Syrmaticus soemmerringii"
"http://purl.obolibrary.org/obo/NCBITaxon_9063","Syrmaticus ellioti"
"http://purl.obolibrary.org/obo/NCBITaxon_9064","Syrmaticus humiae"
"http://purl.obolibrary.org/obo/NCBITaxon_9065","Syrmaticus mikado"
"http://purl.obolibrary.org/obo/NCBITaxon_9066","Syrmaticus reevesii"
"http://purl.obolibrary.org/obo/NCBITaxon_9076","Afropavo congensis"
"http://purl.obolibrary.org/obo/NCBITaxon_9081","Argusianus argus"
"http://purl.obolibrary.org/obo/NCBITaxon_9085","Catreus wallichii"
"http://purl.obolibrary.org/obo/NCBITaxon_9089","Chrysolophus pictus"
"http://purl.obolibrary.org/obo/NCBITaxon_9088","Chrysolophus amherstiae"
"http://purl.obolibrary.org/obo/NCBITaxon_1609122","Coturnix japonica x Gallus gallus"
"http://purl.obolibrary.org/obo/NCBITaxon_593244","Gallus gallus x Coturnix coturnix"
