"aviLabel","taxon","aviId","avidb_link"
"Crypturellus strigulosus","http://purl.obolibrary.org/obo/NCBITaxon_135192","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-FE2B5A6B","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-FE2B5A6B"
"Crypturellus duidae","http://purl.obolibrary.org/obo/NCBITaxon_2802616","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-D2592D39","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-D2592D39"
"Crypturellus erythropus","http://purl.obolibrary.org/obo/NCBITaxon_1118538","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-4E03F38D","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-4E03F38D"
"Crypturellus noctivagus","http://purl.obolibrary.org/obo/NCBITaxon_3036199","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-7507BE36","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-7507BE36"
"Crypturellus atrocapillus","http://purl.obolibrary.org/obo/NCBITaxon_3036196","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-41631439","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-41631439"
"Crypturellus boucardi","http://purl.obolibrary.org/obo/NCBITaxon_1162387","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-5183B60E","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-5183B60E"
"Crypturellus kerriae","http://purl.obolibrary.org/obo/NCBITaxon_2802614","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-2ED97B54","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-2ED97B54"
"Crypturellus variegatus","http://purl.obolibrary.org/obo/NCBITaxon_858304","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-F8BBC7A7","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-F8BBC7A7"
"Crypturellus cinnamomeus","http://purl.obolibrary.org/obo/NCBITaxon_889801","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-AAB5CEED","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-AAB5CEED"
"Crypturellus brevirostris","http://purl.obolibrary.org/obo/NCBITaxon_1118536","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-45EE168A","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-45EE168A"
